player_id;player_name;Conteggio
557147;José Gragera;4
557612;Sékou Mara;5
562948;Hyun-seok Hong;5
565822;Harvey Elliott;3
568158;Javi López;4
569031;Umut Tohumcu;3
569033;Armindo Sieb;4
569457;Tim Breithaupt;4
571299;Hrvoje Smolcic;4
572265;Lorenzo Lucca;11
574201;Grant-Leon Ranos;4
576121;Josh Wilson-Esbrand;9
580560;Jon Pacheco;3
581672;Samuel Iling-Junior;10
582078;Will Dennis;5
584254;Maximilian Breunig;2
585959;Arnaud Kalimuendo;9
591193;Niels Nkounkou;10
591844;Joe Gauci;3
592975;Woyo Coulibaly;5
594991;Mohamed Bayo;7
597104;Walid Ould-Chikh;3
599663;Faris Moumbagna;4
602124;Alessandro Bianco;5
604359;Yusuf Kabadayi;3
605543;Daniel Paraschiv;3
608382;Adrián Rodríguez;3
608832;Merlin Röhl;4
610083;Unai Vencedor;6
610442;Rasmus Højlund;5
610581;Ali Al-Hamadi;6
613393;Gaetano Oristanio;6
615350;Cenk Özkacar;9
617009;Alex Paulsen;3
617755;Jenson Seelt;3
618809;Manu Sánchez;12
618813;Carlos Martín;6
618898;Erencan Yardımcı;5
620313;Lucas Gourna-Douath;6
622722;Colin Kleine-Bekel;3
623773;Kristoffer Lund;3
625014;Julen Agirrezabala;3
626913;Boulaye Dia;7
628366;Lucas Beltrán;3
631007;Filippo Terracciano;4
631472;Bruno Langa;4
631927;Saud Abdulhamid;3
632741;Iker Losada;5
633306;Iván Azón;4
633668;Giovanni Fabbian;5
641537;Tommaso Baldanzi;4
645774;Eren Dinkçi;6
646698;Gabriel Misehouy;2
646733;Jim Allevinah;3
646734;Tomás Mendes;2
646738;Juan Larios;4
648032;James Abankwah;5
648046;Evan Ferguson;5
649016;El Bilal Touré;6
649020;Boubacar Traoré;6
649024;Lamine Diack;5
649452;Issa Kaboré;12
653415;Leonardo Buta;6
654253;Toby Collyer;5
654982;Bilal El Khannouss;3
655247;Moritz Wels;4
656250;Marcel Łubik;3
656681;Victor Boniface;3
658536;Simon Adingra;5
659513;Soumaïla Coulibaly;7
659516;Warren Bondo;6
659542;Elye Wahi;6
660860;Diego Coppola;4
662261;Rafa Marín;6
663244;Jota Silva;2
666268;Daniel Fila;3
666547;Zito Luvumbo;4
666974;Mikayil Faye;4
666977;Aliou Baldé;5
667506;Cameron Congreve;3
667517;Jordan James;3
667640;Alexandru Borbei;3
668276;Hugo Novoa;6
669000;Habib Keïta;4
671108;Kota Takai;3
671649;Álvaro Djaló;2
671799;Rui Modesto;3
671915;Enzo Barrenechea;7
676411;Dailon Livramento;2
679865;Dominic Vincze;4
684318;Samuel Bamba;2
692349;Andrei Coubiș;3
692474;Zeteny Jano;3
694509;Moussa Diarra;3
694561;Valentin Oelz;2
695121;Hevertton;3
696028;Noah Pesch;2
696246;Patrik Mijic;2
696514;Felix Gerstmayer;2
696764;Abu Kamara;5
698560;Cheick Condé;3
699980;Enis Destan;2
700078;Joel Mvuka;4
700106;Brajan Gruda;4
703240;Gennaro Iaccarino;3
704155;Andréas Hountondji;8
707230;Ugo Raghouber;5
707359;Etienne Eto'o;4
708086;Romano Floriani Mussolini;5
709215;Mikel Goti;3
709372;Carlos Romero;3
709380;Álex Forés;5
709969;Ilias Akhomach;3
709971;Xavi Moreno;2
710004;Peter Federico;4
710969;Samed Bazdar;2
713644;Bryan Zaragoza;10
713787;Jhoanner Chávez;3
724099;Claudio Turi;2
724178;Luis Hasa;3
726526;Stefan Mitrović;4
728734;Alfie Devine;3
731491;Franco Carboni;13
731525;Rareș Burnete;2
741090;Jonas Rouhi;2
741292;Iker Bravo;4
742521;Jhon Solís;2
743395;Noah Mbamba;4
743597;Matheus França;2
744728;Arijon Ibrahimovic;7
744729;Tarek Buchmann;3
745178;Edan Diop;2
745461;Luca Koleosho;5
746740;Daniel Jebbison;6
749552;Alieu Fadera;3
770407;Elysée Logbo;2
776890;Nicolas Jackson;4
781270;Lasse Nordås;2
783396;Ramón Terrats;8
787232;David Datro Fofana;9
789419;Teddy Boulhendi;2
795724;Emin Kujovic;3
795762;Elias Bakatukanda;3
800946;Dennis Seimen;3
802243;Ed McJannet;3
804708;Brandon Dominguès;3
805123;Konstantin Schopp;3
807128;Saïdou Sow;6
807165;Bamo Meïté;8
808711;Matthias Wetschka;3
810909;Lucas Michal;3
812654;Rareș Ilie;6
814446;Luca Marianucci;4
815652;Tiago Morais;3
818880;Tommaso Corazza;7
818888;Antonio Raimondo;8
818898;Federico Magro;2
819215;Julien Duranville;2
820241;Damion Downs;4
820633;Coli Saco;7
825073;Leon Opitz;2
829316;Maurice Krattenmacher;4
829838;Hennes Behrens;3
834397;Mike Penders;4
834463;Iker Córdoba;2
834487;Hugo Rincón;4
834742;Mateo Joseph;3
838236;Marin Ljubicic;5
840687;Luís Semedo;3
845321;Kaelan Casey;4
845566;Mihajlo Ilić;3
845568;Marko Milovanović;2
845872;Milos Lukovic;6
847279;Oumar Diakité;4
848682;Kosta Nedeljkovic;4
854721;Ben Winterburn;2
855134;Skelly Alvero;7
857818;Yáser Asprilla;4
857830;Daniel Luna;4
860992;Nicolás Valentini;3
861981;Alan Matturro;3
866247;Tommaso Rubino;1
866579;Cole Campbell;3
875332;Arthur Chaves;3
876298;Matteo Prati;4
876400;Simone Pafundi;4
877672;Ali Jasim;3
879868;Marco Dalla Vecchia;1
881297;Adam Daghim;4
884810;Kjell Wätjen;3
885228;Alessandro Vinciguerra;3
885230;Nicola Pintus;2
886152;Thomas Gillier;2
888493;Alejo Veliz;6
890719;Ethan Nwaneri;3
891923;Dawda Camara;3
892160;Luka Vuskovic;3
892973;Lovro Zvonarek;4
893675;Amir Richardson;6
895458;Adrián Pica;2
895937;Marco Palestra;3
897402;Farid Alfa-Ruprecht;3
897425;Timo Schlieck;3
898356;Alessandro Berretta;2
906160;Saba Goglichidze;4
911224;Alessandro Romano;2
911328;Mohamed Kaba;4
911946;Jorge Hurtado;6
913495;Emran Soglo;4
917778;Rémy Labeau Lascary;4
918957;Davide Renzetti;2
919515;Jeanuël Belocian;4
920939;Vincent Burlet;5
923758;Ylies Aradj;2
923915;Antal Yaakobishvili;3
